股票名称,代码,今开,最高,最低,成交量,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,跌停,外盘,振幅,量比,总市值,高净率,每股净资产,流通股本
 皖通高速,600012,5.9,5.93,5.82, 4.33万手,6.49, 1.91万手, 2545.78万,-11.17%, 68.30亿,9.06,0.16, 16.59亿,5.9,0.37%, non, 2.42万手,1.86%,0.91, 97.19亿,1.01,5.82, 11.66亿
 日照港,600017,3.31,3.33,3.29, 8.13万手,3.64, 3.56万手, 2685.63万,-39.89%, 101.80亿,14.91,0.06, 30.76亿,3.31,0.26%, non, 4.57万手,1.21%,0.18, 101.80亿,0.94,3.52, 30.76亿
 上港集团,600018,5.93,5.93,5.87, 6.38万手,6.49, 3.67万手, 3765.03万,-5.54%, 1367.25亿,20.7,0.07, 231.74亿,5.9,0.03%, non, 2.71万手,1.02%,0.41, 1367.25亿,1.91,3.09, 231.74亿
 东方财富,300059,12.89,13.1,12.75, 92.00万手,14.21, 43.91万手, 11.89亿,2.75%, 537.87亿,59.91,0.11, 51.68亿,12.92,2.22%, non, 48.09万手,2.71%,2.13, 669.28亿,4.76,2.72, 41.53亿
 上海机场,600009,58.21,58.94,57.79, 3.01万手,64.03, 1.28万手, 1.77亿,-12.69%, 642.96亿,27.83,0.53, 19.27亿,58.21,0.28%, non, 1.73万手,1.98%,1.43, 1133.05亿,4.33,13.57, 10.93亿
 包钢股份,600010,1.66,1.67,1.62, 148.37万手,1.84, 83.30万手, 2.44亿,-18.40%, 522.67亿,29.52,0.01, 455.85亿,1.67,0.47%, non, 65.07万手,2.99%,2.26, 752.15亿,1.51,1.1, 316.77亿
 东风汽车,600006,3.9,3.92,3.88, 4.04万手,4.3, 2.04万手, 1574.19万,2.74%, 78.20亿,15.1,0.06, 20.00亿,3.91,0.20%, non, 2.00万手,1.02%,0.3, 78.20亿,1.14,3.42, 20.00亿
 首创股份,600008,4.08,4.11,4.06, 7.34万手,4.5, 4.12万手, 2992.85万,-15.81%, 197.16亿,57.18,0.02, 48.21亿,4.09,0.15%, non, 3.22万手,1.22%,0.33, 197.16亿,2.41,1.7, 48.21亿
 中国国贸,600007,15.42,15.54,15.01, 9120手,16.96, 5319手, 1398.58万,-42.42%, 155.22亿,19.24,0.2, 10.07亿,15.42,0.09%, non, 3801手,3.44%,0.32, 155.22亿,2.33,6.62, 10.07亿
 三峡新材,600293,4.92,4.92,4.82, 11.78万手,5.39, 7.17万手, 5727.38万,-4.05%, 25.06亿,13.16,0.18, 11.62亿,4.9,2.28%, non, 4.61万手,2.04%,4.78, 56.36亿,1.44,3.37, 5.17亿
 白云机场,600004,13.5,13.87,13.5, 8.79万手,14.89, 3.69万手, 1.20亿,3.95%, 284.32亿,16.42,0.21, 20.69亿,13.54,0.42%, non, 5.09万手,2.73%,2.38, 284.32亿,1.84,7.46, 20.69亿
 文灿股份,603348,33.32,33.98,32.23, 7.86万手,36.66, 4.18万手, 2.61亿,57.75%, 18.46亿,44.2,0.25, 2.20亿,33.33,14.29%, non, 3.68万手,5.25%, --, 73.83亿,4.74,7.08, 5500.00万
 民生银行,600016,5.99,5.99,5.93, 31.69万手,6.57, 17.55万手, 1.89亿,-20.70%, 2113.54亿,4.37,0.41, 437.82亿,5.97,0.09%, non, 14.14万手,1.01%,1.52, 2609.43亿,0.58,10.28, 354.62亿
 华夏银行,600015,7.53,7.56,7.5, 7.93万手,8.29, 4.52万手, 5971.91万,-27.52%, 966.83亿,5.31,0.35, 128.23亿,7.54,0.06%, non, 3.41万手,0.80%,0.34, 966.83亿,0.64,11.87, 128.23亿
 浦发银行,600000,10.14,10.14,10.02, 13.17万手,11.15, 7.77万手, 1.33亿,3.78%, 2830.05亿,5.17,0.49, 293.52亿,10.14,0.05%, non, 5.40万手,1.18%,1.03, 2955.75亿,0.74,13.57, 281.04亿
 华能国际,600011,7.3,7.32,6.84, 51.31万手,8.17, 28.86万手, 3.61亿,62.47%, 728.70亿,24.78,0.14, 152.00亿,7.43,0.49%, non, 22.44万手,6.46%,9.12, 1054.91亿,1.49,4.67, 105.00亿
 当代东方,673,8.78,8.78,8.78, 9050手,10.73, --, 794.59万,-100.00%, 36.63亿,18.66,0.12, 7.92亿,9.75,0.22%, non, 9050手, --,0.09, 69.50亿,3.08,2.85, 4.17亿
 华孚时尚,2042,6.52,6.6,6.48, 2.67万手,7.21, 1.20万手, 1747.94万,-81.03%, 99.87亿,11.4,0.22, 15.19亿,6.55,0.18%, non, 1.47万手,1.83%,0.22, 99.97亿,0.94,6.98, 15.18亿
 武钢股份,600005,--, --, --, --,4.08, --, --, --, 374.48亿,75.85,0.04, 100.94亿,3.71, --, non, --, --, --, 374.48亿,1.3,2.85, 100.94亿
 金安国纪,2636,8.46,8.55,8.26, 10.36万手,9.42, 5.63万手, 8734.28万,-4.77%, 20.90亿,17.44,0.12, 7.28亿,8.56,4.21%, non, 4.73万手,3.39%,0.55, 61.73亿,2.67,3.17, 2.46亿
 新宝股份,2705,8.6,8.76,8.59, 9634手,9.53, 7083手, 833.67万,40.95%, 39.65亿,40.8,0.05, 8.13亿,8.66,0.21%, non, 2551手,1.96%,0.25, 70.28亿,1.86,4.64, 4.59亿
 潜能恒信,300191,18.74,18.95,18.35, 2.69万手,20.79, 1.44万手, 5038.36万,-13.39%, 38.96亿,362.06,0.01, 3.20亿,18.9,1.30%, non, 1.26万手,3.17%,0.26, 60.22亿,5.21,3.61, 2.07亿
 石大胜华,603026,21.26,21.75,21.2, 2.41万手,23.54, 1.04万手, 5179.03万,-77.37%, 43.58亿,16.54,0.65, 2.03亿,21.4,1.19%, non, 1.37万手,2.57%,0.19, 43.58亿,2.77,7.76, 2.03亿
 中电环保,300172,6.08,6.16,6.06, 2.05万手,6.73, 8822手, 1252.47万,-71.12%, 21.22亿,24.31,0.13, 5.22亿,6.12,0.59%, non, 1.17万手,1.63%,0.15, 32.01亿,2.57,2.38, 3.46亿
 日科化学,300214,5.01,5.14,5, 13.09万手,5.69, 6.75万手, 6624.93万,-34.28%, 15.42亿,15.4,0.08, 4.26亿,5.17,4.29%, non, 6.33万手,2.71%,2.09, 21.55亿,1.33,3.81, 3.05亿
 鑫广绿环,603302,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 光线传媒,300251,9.41,9.62,9.33, 26.12万手,10.35, 12.95万手, 2.48亿,-22.79%, 262.27亿,3.51,0.68, 29.34亿,9.41,0.95%, non, 13.17万手,3.08%,1.8, 279.57亿,2.69,3.55, 27.52亿
 天桥起重,2523,4.07,4.07,3.81, 56.85万手,4.07, 28.78万手, 2.26亿,-17.80%, 45.59亿,93.13,0.01, 14.17亿,3.7,4.84%, non, 28.07万手,7.03%,4.73, 54.97亿,1.88,2.07, 11.75亿
 易德龙,603380,16.3,16.74,16.29, 1.45万手,18.07, 7877手, 2401.26万,-40.57%, 7.95亿,30.85,0.13, 1.60亿,16.43,3.03%, non, 6643手,2.74%, --, 26.56亿,3.71,4.47, 4789.48万
 四方科技,603339,18.45,18.5,18.06, 7348手,20.09, 4623手, 1337.57万,6.98%, 10.51亿,33.86,0.13, 2.11亿,18.26,1.27%, non, 2724手,2.41%,0.26, 38.31亿,2.56,7.09, 5781.59万
 汉嘉设计,300746,25.37,26.15,25.25, 7.81万手,28.13, 4.04万手, 2.01亿,72.24%, 13.49亿,114.09,0.07, 2.10亿,25.57,14.86%, non, 3.78万手,3.52%, --, 53.95亿,6.63,3.87, 5260.00万
 宁德时代,300750,73.6,74.49,73.02, 11.67万手,81.47, 5.95万手, 8.62亿,40.80%, 161.72亿,97.81,0.21, 21.72亿,74.06,5.37%, non, 5.73万手,1.98%, --, 1617.16亿,5.79,12.86, 2.17亿
 安井食品,603345,34.27,35.72,33.65, 2.00万手,37.69, 7854手, 7006.32万,56.03%, 43.44亿,35.21,0.25, 2.16亿,34.26,1.63%, non, 1.22万手,6.04%, --, 76.39亿,4.37,8.09, 1.23亿
 欣锐科技,300745,57.23,58.09,56, 6.61万手,63.72, 3.34万手, 3.78亿,81.91%, 16.61亿,59.02,0.33, 1.15亿,57.93,23.08%, non, 3.26万手,3.61%, --, 66.43亿,6.84,8.48, 2863.00万
