,日期,收益率,time
0,2019-06-30,2.299,2019-06-30
1,2019-06-29,2.302,2019-06-29
2,2019-06-28,2.306,2019-06-28
3,2019-06-27,2.31,2019-06-27
4,2019-06-26,2.315,2019-06-26
5,2019-06-25,2.314,2019-06-25
6,2019-06-24,2.316,2019-06-24
7,2019-06-23,2.32,2019-06-23
8,2019-06-22,2.323,2019-06-22
9,2019-06-21,2.326,2019-06-21
10,2019-06-20,2.329,2019-06-20
11,2019-06-19,2.329,2019-06-19
12,2019-06-18,2.327,2019-06-18
13,2019-06-17,2.322,2019-06-17
14,2019-06-16,2.316,2019-06-16
15,2019-06-15,2.312,2019-06-15
16,2019-06-14,2.309,2019-06-14
17,2019-06-13,2.305,2019-06-13
18,2019-06-12,2.304,2019-06-12
19,2019-06-11,2.302,2019-06-11
20,2019-06-10,2.305,2019-06-10
21,2019-06-09,2.307,2019-06-09
22,2019-06-08,2.309,2019-06-08
23,2019-06-07,2.31,2019-06-07
24,2019-06-06,2.311,2019-06-06
25,2019-06-05,2.311,2019-06-05
26,2019-06-04,2.311,2019-06-04
27,2019-06-03,2.311,2019-06-03
28,2019-06-02,2.309,2019-06-02
29,2019-06-01,2.303,2019-06-01
30,2019-05-31,2.296,2019-05-31
31,2019-05-30,2.296,2019-05-30
32,2019-05-29,2.292,2019-05-29
33,2019-05-28,2.292,2019-05-28
34,2019-05-27,2.288,2019-05-27
35,2019-05-26,2.286,2019-05-26
36,2019-05-25,2.288,2019-05-25
37,2019-05-24,2.29,2019-05-24
38,2019-05-23,2.287,2019-05-23
39,2019-05-22,2.286,2019-05-22
40,2019-05-21,2.282,2019-05-21
41,2019-05-20,2.283,2019-05-20
42,2019-05-19,2.284,2019-05-19
43,2019-05-18,2.288,2019-05-18
44,2019-05-17,2.291,2019-05-17
45,2019-05-16,2.293,2019-05-16
46,2019-05-15,2.295,2019-05-15
47,2019-05-14,2.298,2019-05-14
48,2019-05-13,2.301,2019-05-13
49,2019-05-12,2.304,2019-05-12
50,2019-05-11,2.307,2019-05-11
51,2019-05-10,2.309,2019-05-10
52,2019-05-09,2.312,2019-05-09
53,2019-05-08,2.314,2019-05-08
54,2019-05-07,2.316,2019-05-07
55,2019-05-06,2.316,2019-05-06
56,2019-05-05,2.316,2019-05-05
57,2019-05-04,2.315,2019-05-04
58,2019-05-03,2.314,2019-05-03
59,2019-05-02,2.329,2019-05-02
60,2019-05-01,2.345,2019-05-01
61,2019-04-30,2.358,2019-04-30
62,2019-04-29,2.356,2019-04-29
63,2019-04-28,2.354,2019-04-28
64,2019-04-27,2.353,2019-04-27
65,2019-04-26,2.352,2019-04-26
66,2019-04-25,2.336,2019-04-25
67,2019-04-24,2.318,2019-04-24
68,2019-04-23,2.305,2019-04-23
69,2019-04-22,2.305,2019-04-22
70,2019-04-21,2.309,2019-04-21
71,2019-04-20,2.308,2019-04-20
72,2019-04-19,2.306,2019-04-19
73,2019-04-18,2.313,2019-04-18
74,2019-04-17,2.311,2019-04-17
75,2019-04-16,2.307,2019-04-16
76,2019-04-15,2.304,2019-04-15
77,2019-04-14,2.296,2019-04-14
78,2019-04-13,2.291,2019-04-13
79,2019-04-12,2.285,2019-04-12
80,2019-04-11,2.273,2019-04-11
81,2019-04-10,2.287,2019-04-10
82,2019-04-09,2.306,2019-04-09
83,2019-04-08,2.317,2019-04-08
84,2019-04-07,2.334,2019-04-07
85,2019-04-06,2.352,2019-04-06
86,2019-04-05,2.37,2019-04-05
87,2019-04-04,2.401,2019-04-04
88,2019-04-03,2.416,2019-04-03
89,2019-04-02,2.426,2019-04-02
90,2019-04-01,2.433,2019-04-01
91,2019-03-31,2.429,2019-03-31
92,2019-03-30,2.427,2019-03-30
93,2019-03-29,2.426,2019-03-29
94,2019-03-28,2.41,2019-03-28
95,2019-03-27,2.392,2019-03-27
96,2019-03-26,2.379,2019-03-26
97,2019-03-25,2.377,2019-03-25
98,2019-03-24,2.391,2019-03-24
99,2019-03-23,2.396,2019-03-23
100,2019-03-22,2.4,2019-03-22
101,2019-03-21,2.405,2019-03-21
102,2019-03-20,2.409,2019-03-20
103,2019-03-19,2.41,2019-03-19
104,2019-03-18,2.412,2019-03-18
105,2019-03-17,2.405,2019-03-17
106,2019-03-16,2.408,2019-03-16
107,2019-03-15,2.41,2019-03-15
108,2019-03-14,2.411,2019-03-14
109,2019-03-13,2.43,2019-03-13
110,2019-03-12,2.432,2019-03-12
111,2019-03-11,2.433,2019-03-11
112,2019-03-10,2.44,2019-03-10
113,2019-03-09,2.438,2019-03-09
114,2019-03-08,2.439,2019-03-08
115,2019-03-07,2.44,2019-03-07
116,2019-03-06,2.424,2019-03-06
117,2019-03-05,2.427,2019-03-05
118,2019-03-04,2.435,2019-03-04
119,2019-03-03,2.438,2019-03-03
120,2019-03-02,2.44,2019-03-02
121,2019-03-01,2.44,2019-03-01
122,2019-02-28,2.448,2019-02-28
123,2019-02-27,2.447,2019-02-27
124,2019-02-26,2.456,2019-02-26
125,2019-02-25,2.474,2019-02-25
126,2019-02-24,2.482,2019-02-24
127,2019-02-23,2.489,2019-02-23
128,2019-02-22,2.496,2019-02-22
129,2019-02-21,2.499,2019-02-21
130,2019-02-20,2.515,2019-02-20
131,2019-02-19,2.531,2019-02-19
132,2019-02-18,2.548,2019-02-18
133,2019-02-17,2.577,2019-02-17
134,2019-02-16,2.585,2019-02-16
135,2019-02-15,2.592,2019-02-15
136,2019-02-14,2.596,2019-02-14
137,2019-02-13,2.594,2019-02-13
138,2019-02-12,2.582,2019-02-12
139,2019-02-11,2.553,2019-02-11
140,2019-02-10,2.524,2019-02-10
141,2019-02-09,2.524,2019-02-09
142,2019-02-08,2.524,2019-02-08
143,2019-02-07,2.576,2019-02-07
144,2019-02-06,2.615,2019-02-06
145,2019-02-05,2.642,2019-02-05
146,2019-02-04,2.679,2019-02-04
147,2019-02-03,2.707,2019-02-03
